class	class_parent_CHEBI	sn1	sn2	sn3	sn1'	sn2'	n-acyl	sphingoid bases	free fatty acid	free fatty alcohol	acyl
Lactosyl ceramide (d18:0)	CHEBI:82926	NA	NA	NA	NA	NA	SPHINGO_23	Sphinganine/Sphing-4E-enine	NA	NA	NA
Lactosyl ceramide (d18:1(4E))	CHEBI:17950	NA	NA	NA	NA	NA	SPHINGO_23	Sphinganine/Sphing-4E-enine	NA	NA	NA
Sulfogalactosyl ceramide (d18:1(4E))	CHEBI:75956	NA	NA	NA	NA	NA	SPHINGO_23	Sphinganine/Sphing-4E-enine	NA	NA	NA
Sulfolactosyl ceramide (d18:1(4E))	CHEBI:78426	NA	NA	NA	NA	NA	SPHINGO_23	Sphinganine/Sphing-4E-enine	NA	NA	NA
Glycosphingolipids ?filter only (d18:1(4E))	CHEBI:24402	NA	NA	NA	NA	NA	SPHINGO_23	Sphing-4E-enine	NA	NA	NA
Cholesterol ester	CHEBI:17002	NA	NA	NA	NA	NA	NA	NA	NA	NA	FAS_85
Cholesterol	CHEBI:16113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fatty acids	CHEBI:28868	NA	NA	NA	NA	NA	NA	NA	FAS_85	NA	NA
Fatty acyl-CoAs	CHEBI:58342	NA	NA	NA	NA	NA	NA	NA	FAS_85	NA	NA
"N,O-diacylethanolamines"	CHEBI:84481	NA	NA	NA	NA	NA	FAS_15	NA	NA	NA	FAS_85
N-acylethanolamines	CHEBI:52640	NA	NA	NA	NA	NA	FAS_85	NA	NA	NA	NA
Fatty acyl-carnitines	CHEBI:75659	NA	NA	NA	NA	NA	FAS_85	NA	NA	NA	NA
Wax esters	CHEBI:10036	FAS_79	FOH_15	NA	NA	NA	NA	NA	NA	NA	NA
Fatty alcohols	CHEBI:24026	NA	NA	NA	NA	NA	NA	NA	NA	FOH_15	NA
all-trans-retinyl ester	CHEBI:63410	NA	NA	NA	NA	NA	NA	NA	NA	NA	FAS_85
1-acyl-N-(acetyl)-sphing-4-enine	CHEBI:84483	NA	NA	NA	NA	NA	NA	NA	NA	NA	FAS_85
